symbol,entry_date,exit_date,qty,entry_price,exit_price,pnl_usd,pnl_pct,entry_readiness,entry_confirmations,strategy_type,rationale,result,lesson
META,2026-06-04T13:30:18.140249Z,2026-06-08T15:45:41.851164Z,3,625.24,588.26,-110.94,-0.0591,38.8,1,momentum,Buy 2 META @ $638.69,loss,Significant loss — review entry timing and sector exposure.
MSFT,2026-06-05T13:31:16.792862Z,2026-06-08T17:50:21.017814Z,10,428.8,411.24,-175.6,-0.041,36.3,1,momentum,Buy 10 MSFT @ $428.80,loss,Small loss — likely noise or stop too tight.
SCHD,2026-06-04T13:32:38.199835Z,2026-06-09T13:32:15.492815Z,30,32.75,32.34,-12.3,-0.0125,,,unknown,Buy 30 SCHD @ $32.75,loss,Small loss — likely noise or stop too tight.
SOFI,2026-06-04T13:33:05.12202Z,2026-06-09T13:33:00.070452Z,100,16.61,16.68,7.0,0.0042,77.1,3,momentum,Buy 100 SOFI @ $17.06,win,Modest winner — held to target.
SGOV,2026-06-04T13:32:31.675688Z,2026-06-09T13:33:15.026744Z,15,100.43,100.46,0.45,0.0003,,,unknown,Buy 15 SGOV @ $100.43,win,Modest winner — held to target.
APP,2026-06-04T13:31:33.523774Z,2026-06-11T13:35:07.945425Z,8,568.37,477.69,-725.44,-0.1595,44.0,1,momentum,Buy 8 APP @ $568.37,loss,Significant loss — review entry timing and sector exposure.
AVGO,2026-06-04T13:32:21.790447Z,2026-06-12T18:32:41.851224Z,5,409.8,381.05,-143.75,-0.0702,58.7,2,momentum,Buy 5 AVGO @ $409.80,loss,Significant loss — review entry timing and sector exposure.
AAPL,2026-06-05T13:33:02.32113Z,2026-06-12T18:32:41.914745Z,25,313.97,290.57,-585.0,-0.0745,46.9,2,momentum,Buy 25 AAPL @ $313.97,loss,Significant loss — review entry timing and sector exposure.
HOOD,2026-06-04T13:33:05.174329Z,2026-06-12T18:32:42.421836Z,25,83.46,93.19,243.25,0.1166,81.9,4,momentum,Buy 25 HOOD @ $83.46,win,Strong winner — factor alignment worked.
CRWD,2026-06-04T13:31:56.693998Z,2026-06-16T13:33:26.914474Z,3,687.49,676.86,-31.89,-0.0155,46.1,2,momentum,Buy 3 CRWD @ $687.49,loss,Small loss — likely noise or stop too tight.
PLTR,2026-06-04T13:30:48.361976Z,2026-06-24T13:32:59.280542Z,25,144.14,116.26,-697.0,-0.1934,33.1,1,momentum,Buy 25 PLTR @ $144.14,loss,Significant loss — review entry timing and sector exposure.
GOOGL,2026-06-05T13:30:57.227016Z,2026-06-24T13:35:11.275365Z,15,367.54,350.87,-250.05,-0.0454,47.8,2,momentum,Buy 15 GOOGL @ $367.54,loss,Small loss — likely noise or stop too tight.
LCID,2026-06-17T13:33:09.58015Z,2026-06-24T13:35:12.440995Z,1,5.08,5.23,0.15,0.0295,47.4,3,momentum,RSI Auto-Entry: RSI 30.8 (below 35.0) with volume confirmation [CASH ONLY],win,Modest winner — held to target.
NIO,2026-06-17T19:49:42.573175Z,2026-06-24T13:35:14.147928Z,1,5.04,4.98,-0.06,-0.0119,36.5,1,momentum,RSI Auto-Entry: RSI 30.9 (below 35.0) with volume confirmation [CASH ONLY],loss,Small loss — likely noise or stop too tight.
XPEV,2026-06-16T15:37:54.274795Z,2026-06-24T13:35:21.449336Z,1,13.98,12.64,-1.34,-0.0959,30.3,1,momentum,RSI Auto-Entry: RSI 29.5 (below 35.0) with volume confirmation [CASH ONLY],loss,Significant loss — review entry timing and sector exposure.
AMZN,2026-06-15T16:56:52.329075Z,2026-06-24T13:35:23.550865Z,40,245.83,236.82,-360.4,-0.0367,46.9,2,momentum,RSI Auto-Entry: RSI 26.8 (below 35.0) with volume confirmation [CASH ONLY],loss,Small loss — likely noise or stop too tight.
MSFT,2026-06-18T17:39:11.512792Z,2026-06-24T13:35:24.100881Z,1,379.66,376.25,-3.41,-0.009,36.3,1,momentum,RSI Auto-Entry: RSI 32.2 (below 35.0) with volume confirmation [CASH ONLY],loss,Small loss — likely noise or stop too tight.
NVDA,2026-06-04T13:30:22.265513Z,2026-06-24T13:35:24.342206Z,12,213.38,200.65,-152.76,-0.0597,64.1,2,momentum,Buy 5 NVDA @ $214.63,loss,Significant loss — review entry timing and sector exposure.
COIN,2026-06-24T13:34:46.956468Z,2026-06-24T14:04:35.132136Z,34,157.57,153.16,-149.94,-0.028,56.8,2,momentum,COUNCIL MODE: JONES conviction - Target $120.00 hit!,loss,Small loss — likely noise or stop too tight.
AMD,2026-06-04T14:53:59.878615Z,2026-06-24T14:04:35.157008Z,16,517.49,521.73,67.84,0.0082,86.8,5,momentum,Buy 25 AMD @ $517.49,win,Modest winner — held to target.
DKNG,2026-06-09T15:02:46.234927Z,2026-06-24T14:04:35.187759Z,414,26.99,24.91,-861.12,-0.0771,49.1,1,momentum,Buy 800 DKNG @ $26.99,loss,Significant loss — review entry timing and sector exposure.
SHOP,2026-06-24T13:34:28.235887Z,2026-06-24T14:04:35.242658Z,24,111.24,110.2,-24.96,-0.0093,64.2,2,momentum,COUNCIL MODE: WOOD conviction - Target $105.00 hit!,loss,Small loss — likely noise or stop too tight.
HOOD,2026-06-09T15:02:46.857202Z,2026-06-24T14:04:35.364599Z,28,84.2,98.89,411.32,0.1745,81.9,4,momentum,Buy 200 HOOD @ $84.20,win,Strong winner — factor alignment worked.
UPST,2026-06-09T15:02:46.162522Z,2026-06-24T14:04:35.531853Z,87,30.97,32.31,116.58,0.0433,79.2,4,momentum,Buy 350 UPST @ $30.97,win,Modest winner — held to target.
AMAT,2026-06-24T14:47:56.165279Z,2026-06-24T14:52:56.735672Z,3,593.28,592.94,-1.02,-0.0006,79.4,5,momentum,Buy 15 AMAT @ $593.28,loss,Small loss — likely noise or stop too tight.
AMD,2026-06-05T16:18:59.725307Z,2026-06-24T14:52:56.926965Z,4,478.96,521.63,170.68,0.0891,86.8,5,momentum,Buy 10 AMD @ $478.96,win,Modest winner — held to target.
AFRM,2026-06-24T14:47:55.96808Z,2026-06-24T14:52:56.94205Z,29,79.38,79.35,-0.87,-0.0004,76.3,3,momentum,Buy 118 AFRM @ $79.38,loss,Small loss — likely noise or stop too tight.
